,Brand,Model,Year,Status,Mileage,Dealer,Price
1,Kia,Sportage,2023,New,0.0,Classic Kia,28990.0
2,Chevrolet,Camaro,2024,New,0.0,Classic Chevrolet Beaumont,41425.0
3,Ford,Bronco,2023,Used,1551.0,Mike Smith Chrysler Dodge Jeep RAM,58900.0
4,Acura,TLX,2021,Used,30384.0,Mike Smith Nissan,34499.0
5,Volkswagen,Golf,2022,Certified,13895.0,Volkswagen of Beaumont,34000.0
6,GMC,Yukon,2021,Used,68506.0,BMW of Beaumont,56954.0
7,BMW,M340,2023,New,0.0,BMW of Beaumont,61715.0
8,Hyundai,Sonata,2023,New,0.0,Hyundai of Silsbee,37945.0
9,Hyundai,Sonata,2023,New,0.0,Hyundai of Silsbee,33495.0
10,Jeep,Grand Cherokee,2023,New,0.0,Granger Chrysler Dodge Jeep Ram,63627.0
11,Jeep,Wagoneer,2023,New,0.0,Granger Chrysler Dodge Jeep Ram,67998.0
12,Dodge,Durango,2023,New,0.0,Granger Chrysler Dodge Jeep Ram,48998.0
13,Ford,Mustang,2024,New,0.0,Town & Country Ford,52105.0
14,Ford,F-350,2023,New,0.0,Town & Country Ford,76816.0
16,Infiniti,QX30,2019,Used,29009.0,Volkswagen of Lake Charles,23589.0
17,Honda,Passport,2023,New,0.0,Community Honda,47935.0
18,GMC,Yukon,2023,New,0.0,Big Star Buick GMC,71125.0
19,Lexus,ES,2021,Used,22251.0,Big Star Buick GMC,39895.0
20,GMC,Sierra,2022,Certified,7142.0,Big Star Buick GMC,45995.0
22,GMC,Yukon,2023,New,0.0,Big Star Buick GMC,77345.0
23,GMC,Yukon,2023,New,0.0,Big Star Buick GMC,99605.0
24,GMC,Yukon,2023,New,0.0,Big Star Buick GMC,89925.0
25,GMC,Yukon,2023,New,0.0,Big Star Buick GMC,100205.0
26,GMC,Yukon,2023,New,0.0,Big Star Buick GMC,75600.0
27,Toyota,Tundra,2019,Used,33196.0,Big Star Buick GMC,36990.0
28,Cadillac,CT5,2023,New,0.0,Ron Craft Cadillac,53805.0
29,Buick,Envista,2024,New,0.0,Martin Chevrolet Buick GMC,31655.0
30,Mazda,CX-5,2017,Used,97892.0,Bacliff Auto,16995.0
31,Honda,Civic,2023,New,0.0,Sterling McCall Honda,25845.0
32,Honda,Accord,2017,Used,95294.0,Sterling McCall Honda,16141.0
35,Volkswagen,Atlas,2021,Used,32298.0,Tejas Toyota,33127.0
36,Toyota,4Runner,2023,New,0.0,Tejas Toyota,49521.0
